O2_3726A	55.776	2.2
O2_3729A	26.898	1.1
O3_4363A	1.301	0.026
O2_4639A	0.057	0.0051
O2_4642A	0.102	0.0051
O2_4649A	0.155	0.0046
O2_4651A	0.052	0.0052
O2_4662A	0.068	0.0054
O2_4674A	0.011	0.0032
O2_4676A	0.035	0.0046
O2_4696A	0.004	0.002
Ar4_4711A	0.1	0.006
Ar4_4740A	0.121	0.0061
O3_4959A	128.202	0.90
O3_5007A	383.804	2.7
Cl3_5518A	0.383	0.011
Cl3_5538A	0.59	0.012
N2_5755A	0.68	0.020
N2_6548A	12.201	0.61
N2_6584A	37.769	1.9
S2_6716A	1.938	0.12
S2_6731A	3.518	0.21
O2_7319A+	5.432	0.43
O2_7330A+	4.154	0.33
